sample_id	run_id	depth_category	input_path	input_exists	rows_scanned	coding_rows_scanned	eligible_gene_id_rows	overlay_matched_rows	clinical_evidence_rows_written	frequency_profile_rows_written	functional_impact_rows_written	mitocarta_gene_matches	epi25_gene_matches	both_overlay_gene_matches	status	epi25_seed_path	mitocarta_seed_path	epi25_unique_gene_ids	mitocarta_unique_gene_ids
ERR10619203	run_2026_05_30_071639	q3	results/run_2026_05_30_071639/processed/stage_12_validation_candidates.tsv	True	674593	26271	26271	806	481	484	594	436	2	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619207	run_2026_06_01_124134	q3	results/run_2026_06_01_124134/processed/stage_12_validation_candidates.tsv	True	678379	26555	26555	795	489	479	599	442	1	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619208	run_2026_05_30_151355	median	results/run_2026_05_30_151355/processed/stage_12_validation_candidates.tsv	True	849399	28041	28041	839	504	499	624	457	2	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619212	run_2026_05_30_214724	q1	results/run_2026_05_30_214724/processed/stage_12_validation_candidates.tsv	True	905517	27149	27149	799	491	470	585	430	4	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619225	run_2026_05_31_091242	q3	results/run_2026_05_31_091242/processed/stage_12_validation_candidates.tsv	True	757635	27820	27820	896	516	502	635	451	4	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619230	run_2026_06_01_004903	q3	results/run_2026_06_01_004903/processed/stage_12_validation_candidates.tsv	True	681054	26948	26948	828	498	481	606	442	3	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619241	run_2026_06_02_052302	q1	results/run_2026_06_02_052302/processed/stage_12_validation_candidates.tsv	True	909698	26104	26104	802	485	469	582	429	3	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619281	run_2026_05_27_233524	median	results/run_2026_05_27_233524/processed/stage_12_validation_candidates.tsv	True	811554	27869	27869	871	510	514	640	459	3	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619285	run_2026_06_02_124300	median	results/run_2026_06_02_124300/processed/stage_12_validation_candidates.tsv	True	795059	26922	26922	873	501	500	618	444	4	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619300	run_2026_05_27_172531	median	results/run_2026_05_27_172531/processed/stage_12_validation_candidates.tsv	True	736468	26439	26439	794	465	459	571	422	2	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619309	run_2026_06_02_181024	q1	results/run_2026_06_02_181024/processed/stage_12_validation_candidates.tsv	True	879401	26448	26448	831	494	484	606	438	3	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
ERR10619330	run_2026_06_01_203130	q1	results/run_2026_06_01_203130/processed/stage_12_validation_candidates.tsv	True	963426	27131	27131	833	483	476	605	430	4	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
SRR12898354	run_2026_06_03_010030	hg002	results/run_2026_06_03_010030/processed/stage_12_validation_candidates.tsv	True	4636584	27486	27486	815	474	468	592	431	4	0	ok	data/reference/gene_lists/epi25_vap_overlay_seed.tsv	data/reference/gene_lists/mitocarta_vap_overlay_seed.tsv	7	1133
