SRA	run_id	depth_category	source_files_present	missing_expected_files	substrate_summary_status
ERR10619203	run_2026_05_30_071639	q3	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619207	run_2026_06_01_124134	q3	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619208	run_2026_05_30_151355	median	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619212	run_2026_05_30_214724	q1	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619225	run_2026_05_31_091242	q3	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619230	run_2026_06_01_004903	q3	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619241	run_2026_06_02_052302	q1	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619281	run_2026_05_27_233524	median	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619285	run_2026_06_02_124300	median	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619300	run_2026_05_27_172531	median	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619309	run_2026_06_02_181024	q1	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
ERR10619330	run_2026_06_01_203130	q1	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
SRR12898354	run_2026_06_03_010030	hg002	stage_08_rdgp_gene_evidence_seed.tsv|stage_08_vdb_ready_variants.tsv|stage_12_validation_candidates.tsv|stage_metrics_long.tsv		complete
