consequence	count
intron_variant	340322
intron_variant&non_coding_transcript_variant	153017
intergenic_variant	124926
upstream_gene_variant	61295
downstream_gene_variant	54641
non_coding_transcript_exon_variant	16827
synonymous_variant	11809
missense_variant	11356
3_prime_UTR_variant	9554
5_prime_UTR_variant	3041
splice_polypyrimidine_tract_variant&intron_variant	2331
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	1416
intron_variant&NMD_transcript_variant	1265
splice_region_variant&intron_variant	457
splice_donor_region_variant&intron_variant	380
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	266
missense_variant&splice_region_variant	256
splice_region_variant&synonymous_variant	253
frameshift_variant	233
inframe_deletion	231
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	214
splice_region_variant&non_coding_transcript_exon_variant	174
inframe_insertion	159
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	99
splice_donor_5th_base_variant&intron_variant	94
stop_gained	76
splice_region_variant&intron_variant&non_coding_transcript_variant	54
splice_donor_variant&non_coding_transcript_variant	45
3_prime_UTR_variant&NMD_transcript_variant	33
splice_acceptor_variant&non_coding_transcript_variant	31
splice_donor_variant	25
splice_acceptor_variant	24
splice_region_variant&5_prime_UTR_variant	23
stop_lost	21
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	20
stop_retained_variant	14
start_lost	13
mature_miRNA_variant	6
inframe_insertion&stop_retained_variant	5
frameshift_variant&splice_region_variant	4
splice_region_variant&3_prime_UTR_variant	4
frameshift_variant&splice_donor_region_variant	3
frameshift_variant&start_lost&start_retained_variant	3
frameshift_variant&stop_lost	3
incomplete_terminal_codon_variant&coding_sequence_variant	3
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	3
coding_sequence_variant	2
splice_donor_variant&non_coding_transcript_exon_variant	2
splice_region_variant&non_coding_transcript_variant	2
start_lost&splice_region_variant	2
start_lost&start_retained_variant	2
stop_gained&frameshift_variant	2
coding_sequence_variant&5_prime_UTR_variant	1
inframe_insertion&splice_region_variant	1
inframe_insertion&start_retained_variant	1
missense_variant&NMD_transcript_variant	1
splice_acceptor_variant&5_prime_UTR_variant	1
splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_acceptor_variant&frameshift_variant	1
splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	1
splice_donor_variant&splice_donor_region_variant&intron_variant	1
splice_donor_variant&stop_gained&frameshift_variant	1
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	1
splice_region_variant&intron_variant&NMD_transcript_variant	1
start_lost&start_retained_variant&5_prime_UTR_variant	1
