key	value
figure_id	F3B
case_id	err10619300
input_f3b_semantic_branching_path	results/run_2026_05_22_071545/metrics/figure_f3b_semantic_branching.tsv
output_prefix	err10619300_f3b_semantic_branching
run_id	run_2026_05_22_071545
sample_id	ERR10619300
assay_type	WES
run_classification	full_pipeline
renderer	generate_case_study_f3b_semantic_branching.py
semantic_scope	semantic evidence preservation topology; not clinical interpretation
primary_message	VAP preserves multiple biologically meaningful evidence classes and does not naïvely discard noncoding evidence.
